Name,Weight (lbs),Height (inches)
"Robinson, Trevor",300,77
"Hatcher, Jason",299,78
"Hudson, Rodney",300,74
"Klewicki, Ed",209,70
"Myers, Robert",335,77
"Fountain, Maurice",270,76
"Babinecz, John",222,73
"Gillmore, Crockett",260,78
"Eikenberg, Virgil",205,74
"Thompson, Ted",220,73
"Watts, Roy",310,77
"Parks, Billy",185,73
"O'Neal, Cedric",215,70
"Baujan, Harry",170,68
"Harris, John",196,
"Cagle, Jim",255,77
"Lenon, Paris",240,74
"Ailinger, Jim",215,71
"Reavis, Dave",257,77
"DiGiacomo, Curt",270,76
"Lewis, Woodley",185,72
"Pittman, Jeremy",250,76
"Petrowski, Jamie",262,76
"Thomas, Dave",218,75
"Gatewood, Rick",190,71
"Anderson, Maurice",280,75
"Addai, Derick",231,75
"Belk, Veno",233,75
"Walker, Byron",190,76
"Phillips, Ray",243,75
"Johnson, Shawn",273,76
"Byrd, Damiere",180,69
"Roach, Freddie",250,74
"Teal, Quinton",205,72
"Westerman, Christian",300,75
"Adams, Darvin",195,74
"Oatis, Victor",177,72
"Roach, David",216,74
"Taylor, Mike",255,76
"George, Ray",229,72
"Lamonica, Daryle",215,75
"Aldridge, Allen",250,78
"Hagemann, Nick",295,79
"Baxter, Brad",235,73
"Kersey, Merritt",205,73
"Harris, JaRon",200,72
"Dickey, Wallace",260,75
"Ireland, Darwin",240,71
"Schulters, Lance",202,74
"Leake, John",240,72
"Pilares, Kealoha",200,70
"Allen, Jerry",200,73
"Devine, Derek",224,75
"Eubanks, John",173,70
"Terrell, Claude",330,74
"Scott, Travis",300,78
"Gorgone, Pete",220,72
"Dale, Carroll",200,74
"Padjen, Gary",244,74
"James, John",197,75
"Mankins, Jim",215,73
"Alfonse, Julie",180,68
"Feathers, Beattie",185,70
"Bailey, Byron",192,70
"Harris, Billy",204,74
"Pena, Bubba",250,74
"Reed, D'Aundre",260,76
"Njoku, David",245,76
"Okoro, Kenny",190,73
"Malveaux, Cameron",251,78
"Fitzpatrick, D.J.",206,74
"Cooper, Amari",210,73
"Endress, Al",200,74
"Lee, Jacky",189,73
"Choma, John",261,77
"Haley, Charles",255,77
"Gaines, Michael",267,74
"Daniels, Darrell",247,75
"Pate, Wes",228,74
"Lamur, Emmanuel",245,76
"Voytek, Zach",305,77
"Dandridge, Gary",213,72
"Reilly, Mike",217,76
"Gilliard, Darnell",304,77
"Peko, Tupe",305,76
"Jenkins, John",359,75
"Daniels, David",190,73
"Maas, Bill",265,77
"Glanton, Adarius",230,73
"Larrimore, Kareem",206,71
"Jansen, Jon",305,78
"Beckett, Rogers",207,74
"Lilja, George",264,76
"Harrison, Ed",178,72
"Hannah, Rodney",258,78
"Lee, Greg",202,73
"Purdum, Tanner",270,75
"Wegert, Ted",202,71
"Faumuina, Wilson",275,77
"Lee, Ken",230,76
"Hurst, Demontre",191,70
"Phillips, Kalif",185,71
"Carter, Cory",185,70
"Amstutz, Joe",264,77
"Fowler, Dan",260,76
"Barnes, Ernie",247,75
"Lamson, Chuck",190,72
"O'Brien, Fran",253,73
"Reynaud, Darius",208,69
"Aschenbrenner, Frank",188,70
"O'Connor, Bill",220,76
"Young, Randy",250,77
"Perry, Leon",224,71
"Barber, Stew",250,74
"DaGata, Fred",187,70
"Watson, Theodric",295,77
"Maxwell, Tommy",195,74
"Newman, Anthony",215,72
"Hill, Jordan",290,73
"Flowers, Marquis",245,75
"Nugent, Dan",250,75
"Faine, Jeff",291,75
"Wade, Jonathan",195,71
"Killiher, Lyons",1,
"Scheib, Skippy",210,74
"Casteel, Mike",175,71
"Paluck, John",241,74
"Allen, Sean",305,75
"Caldwell, Knute",210,73
"Nolan, Dick",185,73
"Leone, Richie",214,75
"Archer, Phil",245,74
"Urschel, John",300,75
"Hampton, Victor",197,69
"Martin, Tee",225,74
"MacPhee, Waddy",160,68
"Franklin, James",230,74
"Hood, Ziggy",305,75
"Foster, Roy",275,76
"Jackson, John",175,70
"Cemore, Tony",210,72
"Beard, Ed",226,73
"Whitehead, Tahir",241,74
"Schobel, Aaron",243,76
"Mack, Cedric",190,72
"Nairne, Rob",223,76
"Patton, Marvcus",241,74
"Weatherly, Bones",218,77
"Rankin, Walt",197,71
"Gibson, Butch",204,69
"Bahnsen, Ken",200,70
"Reagen, Ed",1,
"Fassel, Jim",210,73
"Jerman, Greg",310,77
"Johnson, Kelin",197,72
"Brown, Ryan",267,78
"Shakespeare, Stanley",190,72
"Bromley, Jay",306,75
"Mahrt, Al",168,71
"Nix, Lucas",325,77
"Papach, George",208,74
"Odhiambo, Rees",315,76
"Martinez, Adrian",208,75
"Gerry, Nate",218,74
"Jones, Zay",202,74
"Bates, Mario",239,74
"Taylor, Charley",210,75
"Perry, Gerald",300,78
"Thomas, Derrick",255,75
"Banks, Roy",190,70
"Ogrin, Pat",265,77
"Banks, Josh",290,76
"Vetrano, Joe",170,69
"Opalewski, Ed",230,75
"Garrard, David",236,73
"Wallace, Cooper",258,75
"Carpenter, Steve",195,74
"Washington, Dwayne",223,73
"Thompson, Bobby",188,71
"Davis, Todd",230,73
"Kublanow, Brandon",291,75
"Bell, Josh",177,71
"Porter, Tracy",200,71
"O'Keith, Marcus",198,71
"Lindahl, Joe",197,73
"Franklin, Jethro",258,73
"Graham, Jimmy",265,79
"Wallace, John",180,72
"Bazzie, Alex",229,73
"West, Charlie",197,73
"Pickering, Clay",215,77
"Powell, Joe",205,74
"Goode, Jason",245,75
"Gehrke, Fred",189,71
"Radzevich, Vic",165,70
"Johnson, Dustin",235,73
"Davis, Kelvin",260,74
"Francis, Sam",207,72
"Hammond, Bobby",171,70
"Olsen, Orrin",245,73
"Verstegen, Mike",311,78
"Schick, Doyle",210,73
"Diem, Ryan",320,78
"Thomas, Lynn",181,71
"Saturday, Jeff",295,74
"Rashad, Sha'reff",198,72
"Harris, Odie",190,72
"Bass, Robert",239,73
"Reynolds, Bill",183,68
"Behning, Mark",290,78
"Talton, Ken",208,72
"Vallejo, Tanner",228,73
"Edwards, Anthony",195,70
"Oshinowo, Baba",325,73
"Atkins, Baraka",265,76
"Owens, Jeff",304,73
"Harris, DuJuan",206,67
"Oberg, Tom",185,72
"Parker, Kerry",192,73
"Palmer, Ashlee",238,73
"Smith, Antonio",290,75
"Lupeamanu, Tueni",252,73
"Westerman, Jamaal",257,74
"Watkins, Carlos",312,76
"Ware, Kevin",259,75
"Perrin, Benny",178,74
"Leach, Bill",280,77
"Thomas, Chris",190,72
"Enzor, Jamar",238,73
"Ajirotutu, Seyi",215,75
"George, Tim",225,77
"Fairbairn, Ka'imi",185,72
"Markov, Vic",215,72
"Jasper, Vince",270,76
"Pepper, null",,
"Mitchell, Mike",221,73
"Hendrickson, Trey",270,76
"Wham, Tom",217,74
"Engram, Bobby",192,70
"Digris, Bernie",212,72
"Pittman, Charlie",200,73
"Todd, Jim",195,71
"Frank, Malcolm",178,68
"Adams, Bill",255,74
"Hall, Marvin",190,70
"Dennis, Mark",288,78
"Garnaas, Bill",187,71
"Larson, Paul",185,71
"Jennings, Jonas",328,75
"Yancey, DeAngelo",205,74
"Addai, Joseph",214,71
"White, DeAndrew",192,72
"Pillow, Frank",170,70
"Scott, Freddie",180,74
"Williams, Andre",220,72
"Cherry, Matt",203,73
"Thoms, Art",260,77
"Thacker, Al",200,70
"Dennis, Al",250,76
"Anderson, Jesse",245,74
"Dennerlein, Jerry",240,74
"Harris, Corey",213,71
"Maples, Butch",225,76
"Barlow, Reggie",190,72
"Edwards, Cid",230,75
"Carroll, Terrence",215,72
"Abrams, Bobby",242,75
"Owens, Don",255,77
"Thompson, Antoine",195,71
"Yancy, Carlos",190,74
"D'Imperio, Ryan",240,75
"Chorovich, Dick",260,76
"Thomas, Dontarrious",241,74
"Petway, David",207,73
"Carroo, Leonte",217,72
"Giacomini, Breno",318,79
"Epps, Phil",165,70
"Uko, George",284,75
"Newton, Cecil",310,74
"Brown, Da'Ron",199,72
"Sanders, Chuck",233,73
"Weber, Adam",210,75
"Samuels, Chris",314,77
"Dobbs, Joshua",216,75
"Lentz, Matt",320,78
"Erlandson, Tom",235,75
"McAdams, Bob",250,75
"Wright, K.J.",246,76
"Dekker, Jon",250,77
"Lind, Mike",225,74
"Chester, Chris",303,75
"Tamme, Jacob",230,75
"Compton, Tom",308,77
"Watson, Ernest",155,68
"Garner, Bob",189,70
"Williams, Avery",201,70
"Allen, Zach",328,75
"Davis, Harlan",191,72
"Lacey, Deon",225,73
"Gibson, Thaddeus",243,74
"Pace, Brandon",194,70
"Bell, Eddie",212,73
"Kahler, Bob",201,75
"Nehemiah, Renaldo",181,73
"Tulloch, Stephen",245,71
"Lewis, Bill",186,71
"Martin, Marcus",321,75
"Thomas, Bob",201,70
"Lehman, Teddy",249,73
"Tjong-A-Tjoe, Ricky",309,74
"Carroll, Leo",250,79
"Lethridge, Zebbie",190,72
"Foster, Reuben",228,73
"Fleming, Wilmer",165,71
"Scruggs, Ted",195,73
"Beasley, John",228,75
"Dunbar, Quinton",203,74
"Whaley, Ben",210,71
"Senters, Mike",183,71
"Rodgers-Cromartie, Dominique",193,74
"Nydall, Mally",163,71
"Perkins, Don",196,72
"Malone, Toderick",177,71
"Wheatley, Tyrone",235,72
"Divitto, Steele",237,74
"Chiles, John",210,74
"Chukwurah, Patrick",250,73
"Rauch, John",195,73
"Scott, Darnay",204,73
"Malone, Ralph",225,77
"Haskins, Jon",245,74
"Bachman, Ted",190,72
"Carroll, Herman",265,76
"Newkirk, Robert",290,75
"Harris, Walter",195,73
"Khayat, Bob",230,74
"Fowler, Dante",250,74
"Gissinger, Andrew",280,77
"Hansen, Tyler",225,73
"Chryplewicz, Pete",261,77
"Harris, Ken",190,72
"Kalaniuvalu, Alai",302,75
"Davis, Billy",205,73
"Cardinal, Fred",220,71
"Maddox, Mark",240,73
"Jawish, Heinie",210,68
"Drescher, Justin",235,73
"Carney, John",185,71
"McLeod, Rodney",195,70
"Wendler, Jack",175,70
"Lewis, Armahd",171,69
"Babers, Rod",185,69
"Foley, Glenn",220,74
"Hanks, Merton",181,74
"Wayt, Russell",235,76
"Koontz, Ed",230,74
"Roberts, Jordan",222,70
"Ossowski, Ted",218,72
"Marks, Steve",175,70
"Brock, Tramaine",197,70
"Folau, Spencer",310,77
"Lang, T.J.",318,76
"Sapp, Ricky",252,76
"Wells, Scott",302,74
"Armstrong, Bruce",295,76
"Cox, Fletcher",310,76
"Dillard, Stacey",290,77
"Kennedy, Sam",235,75
"Parker, Steve",256,76
"Belton, Horace",200,68
"Lahar, Hal",221,72
"Gill, Robert",180,70
"Weiner, Todd",300,76
"Isles, Nate",348,77
"Jackson, Terry",221,72
"Nagurski, Bronko",226,74
"Baack, Steve",264,76
"Yancy, Richard",195,72
"Barbiasz, Lee",308,79
"Waddell, Reggie",185,72
"Darre, Bernie",230,74
"Thomas, Marco",175,73
"Fausch, Frank",250,75
"Ebersole, Hal",190,75
"Carter, Louis",207,71
"Mack, Marlon",210,72
"Harris, Rudy",255,73
"Bigger, Zeek",216,74
"Edelman, Julian",200,70
"Lisch, Rusty",213,75
"Christiansen, Marty",200,72
"Lewis, Tim",194,71
"Christy, Dick",191,70
"Francis, Joe",195,73
"Gilmore, Stephon",190,73
"Harris, Kay-Jay",240,72
"Tomich, Jared",283,75
"Muhammad, Khalfani",175,69
"Nadolney, Peaches",211,71
"Carolan, Brett",241,75
"Bellini, Mark",185,71
"Roberts, Choo-Choo",188,71
"Young, Bob",270,73
"Daanen, Jerry",190,72
"Williamson, Andrew",212,73
"Reid, Andy",194,72
"Quaye, Ko",305,73
"Wylie, Andrew",311,78
"Dillard, Phillip",250,74
"Chirico, John",220,72
"Pipkin, Joyce",204,73
"Rodgers, Jake",320,78
"Vasher, Nathan",185,71
"Battles, Cliff",195,73
"Bass, Dick",200,70
"Parker, Don",258,75
"Magliolo, Joe",210,72
"Hampton, William",190,70
"Hall, Chris",184,74
"Arndt, Dick",265,77
"Lee, Pat",200,72
"Daniels, Jack",135,
"Johnson, Norm",210,74
"Malone, Nigel",185,70
"Halverson, Dean",230,74
"Tolver, J.R.",205,73
"Malone, Art",211,71
"Gowins, Brian",174,69
"Jamison, Jermaine",201,74
"Norman, Chris",198,74
"Pierre-Louis, Kevin",230,72
"Raynor, Wilson",235,74
"Caylor, Drew",288,77
"Harper, Nick",182,70
"Nedney, Joe",220,77
"Peprah, Charlie",203,71
"Gayle, James",255,76
"Patterson, Martin",243,73
"Mattran, Tim",308,76
"Novsek, Joe",237,76
"Barnes, Charlie",230,77
"Kaporch, Al",215,70
"Weir, Eric",175,74
"Hartsell, Mark",225,76
"Farmer, Danny",215,75
"Jerome, Lorenzo",202,71
"Kacmarek, Jeff",240,74
"Renfro, Dean",180,71
"Piller, Zach",315,77
"Madsen, Joe",310,75
"Demarie, John",246,75
"Pelc, Alan",305,78
"Foster, Mason",250,73
"Baptiste, Tressor",230,72
"Gardner, Devin",218,76
"Kopp, Jeff",244,75
"Bucannon, Deone",211,73
"Rowe, Eric",205,73
"Scott, Bryan",220,73
"Ingwersen, Burt",180,71
"Eason, Cordera",233,72
"Dalton, Lional",315,73
"Jenkins, A.J.",237,74
"Johnson, Tre'",326,74
"Terrell, Ray",185,72
"Hardy, Greg",280,77
"Robb, Loyal",184,69
"Jackson, Ernie",173,70
"Chalenski, Mike",280,77
"Thompson, Paul",215,76
"Vick, Roger",239,75
"West, Walter",197,72
"Ward, Carl",180,69
"Campbell, John",225,75
"Beathard, Pete",200,73
"Scott, Da'Rel",210,71
"Clark, Chris",305,77
"Edwards, Dave",195,72
"Wendell, Marty",215,70
"Gibson, Dick",188,72
"Addae, Jahmile",205,72
"Magee, Calvin",240,75
"Aiello, Tony",165,66
"Sharp, Brandon",195,70
"Omensky, null",,
"Linne, Aubrey",235,79
"Shaw, Bryant",287,75
"Pavelec, Ted",218,72
"Martin, Jack",238,75
"Oliver, Vince",180,71
"Ellis, Walt",224,71
"Hatchett, Derrick",182,71
"Halas, George",182,72
"Ford, Fred",198,75
"Massey, Chris",237,72
"Martin, Derrick",185,72
"Davis, Will",180,71
"O'Donnell, Pat",217,76
"Gayle, Rashid",175,68
"Caston, Toby",235,73
"Wesley, Dante",215,73
"Kush, Eric",313,76
"Mahrt, Armin",182,71
"Davis, Emanuel",195,70
"Newsome, Jamar",206,73
"Bateman, Marv",213,76
"Baldwin, Bob",225,73
"Scott, Johnny",176,70
"Williams, Brandon",340,73
"Penny, Elijhaa",234,74
"Warren, Jimmy",175,71
"Ndukwe, Chinedum",224,74
"Cannon, KD",180,72
"Dishman, Chris",375,75
"Dayhoff, Harry",180,69
"Rivers, Derek",250,76
"Schwenk, Bud",200,74
"Adams, Blue",187,70
"Whitney, Isaac",220,75
"Partridge, Rick",175,73
"Philmore, Mark",185,70
"Gibler, Andy",235,76
"Harper, John",230,75
"Foreman, Chuck",210,74
"Hanburger, Chris",218,74
"Warner, Kurt",214,74
"Hall, Tom",195,73
"Jackson, Randy",220,72
"Glueck, Larry",190,72
"Toles, Alvin",211,73
"Villanucci, Vince",265,74
"Kinney, Erron",275,77
"Alexander, Patrise",244,73
"Miller, Harlan",182,72
"Tatum, Jack",200,70
"Alexander, Willie",194,74
"Jean, Jimmy",205,75
"Santone, Joe",180,66
"Riddell, Speed",185,70
"Capi, Cap",249,75
"Bass, David",256,76
"Arnoux, Stanley",232,72
"Glenn, Howard",235,72
"Hagenbuckle, Vern",185,68
"Sepulveda, Daniel",230,75
"Ward, Derrick",240,71
"Chapman, Robert",240,75
"Cook, Connor",217,76
"Forte, Ike",203,72
"Kassell, Brad",242,75
"Thomas, Latarrius",210,73
"Sams, Ron",261,75
"Thomas, Jewerl",230,70
"Jaqua, Jon",190,72
"O'Malley, Ryan",258,78
"Armah, Alex",253,74
"Funchess, Devin",225,76
"Nafziger, Dana",220,73
"Oswald, Paul",273,75
"Slade, Chad",315,77
"Cecil, Chuck",184,72
"Papale, Vince",195,74
"Harper, Shawn",290,75
"Lee, Carl",185,71
"Filipovic, Filip",216,74
"Bell, Nick",250,74
"Thomas, Donald",303,76
"Frankowski, Ray",223,71
"Crowder, Jamison",182,68
"Kercher, Dick",205,74
"Wiltz, Jomal",174,70
"Spadola, Ryan",205,73
"Dennery, Vince",190,71
"Jones, Aaron",208,69
"Valentine, Vincent",320,74
"Beal, Jeremy",280,75
"Taylor, Eric",305,74
"Olerich, Dave",220,73
"Ramsey, Frank",240,73
"Opurum, Toben",250,73
"Pace, Orlando",325,79
"Thornton, Sidney",230,71
"Tu'ikolovatu, Stevie",350,73
"Fitzgerald, Kevin",235,75
"Goodwin, Earl",195,73
"Plantz, Ron",272,76
"Nobile, Leo",213,70
"Thomas, Jaimie",330,76
"Beck, Ray",224,74
"Tate, John",230,74
"Line, Zach",233,73
"Washington, Mickey",195,69
"Joeckel, Luke",312,78
"Fisher, Luke",235,73
"Schmitt, George",193,71
"Hart, Roy",280,73
"Davis, Cedric",170,69
"Etherly, Dave",190,73
"Maneri, Steve",280,79
"Olsen, Norm",220,74
"Ribble, Dave",225,73
"Anthony, Terrence",183,70
"Embree, Jon",234,74
"Golliday, Aaron",270,75
"Harris, Kenneth",215,75
"Laufasa, Darrin",240,73
"Quarles, Shelton",225,73
"Manca, Massimo",211,70
"Felber, Nip",190,74
"Lee, Biff",226,72
"Barnett, Harlon",203,71
"Hamilton, Joe",190,70
"Lincoln, Keith",215,73
"Carollo, Joe",265,74
"Petrovich, George",225,74
"Murray, Justin",304,77
"Komar, Max",202,71
"Lazetich, Mike",211,73
"Pierson, Pete",303,77
"Theus, John",303,78
"Ellis, Sedrick",307,73
"Caliguire, Dean",282,74
"Johnson, Landon",232,74
"Richardson, Al",250,75
"Gibbs, Sonny",230,79
"Alama-Francis, Ikaika",290,77
