mass_A
t	x	y
7.750000000E-1	1.064169407E-1	6.204964996E-1
7.875000000E-1	1.062633687E-1	6.098020022E-1
8.000000000E-1	1.060133450E-1	5.986461872E-1
8.125000000E-1	1.087400646E-1	5.914891336E-1
8.250000000E-1	1.085046411E-1	5.773024740E-1
8.375000000E-1	1.097262217E-1	5.653803980E-1
8.500000000E-1	1.093114401E-1	5.488142066E-1
8.625000000E-1	1.074989179E-1	5.262940699E-1
8.750000000E-1	1.085860709E-1	5.108535144E-1
8.875000000E-1	1.083244374E-1	4.907615321E-1
9.000000000E-1	1.078743129E-1	4.691623442E-1
9.125000000E-1	1.076454318E-1	4.457684710E-1
9.250000000E-1	1.071070484E-1	4.212346161E-1
9.375000000E-1	1.066252553E-1	3.944450534E-1
9.500000000E-1	1.061190429E-1	3.668026480E-1
9.625000000E-1	1.055659399E-1	3.380023805E-1
9.750000000E-1	1.049768691E-1	3.080296416E-1
9.875000000E-1	1.045108458E-1	2.767952492E-1
1.000000000E0	1.038718115E-1	2.436136921E-1
1.012500000E0	1.033756918E-1	2.070671637E-1
1.025000000E0	1.025277690E-1	1.721032489E-1
1.037500000E0	1.016653662E-1	1.349140478E-1
1.050000000E0	1.009664754E-1	9.412440191E-2
1.062500000E0	1.002716704E-1	5.223196555E-2
1.075000000E0	9.987640741E-2	2.728436868E-2
1.087500000E0	9.897674274E-2	-3.929428356E-2
1.100000000E0	9.807747810E-2	-7.653049113E-2
1.112500000E0	9.930018367E-2	-3.184815866E-2
1.125000000E0	1.006382209E-1	2.930305933E-2
1.137500000E0	1.013933255E-1	7.137535227E-2
1.150000000E0	1.021700669E-1	1.102611451E-1
1.162500000E0	1.028364513E-1	1.473109111E-1
1.175000000E0	1.029575263E-1	1.567478377E-1
1.187500000E0	1.061544406E-1	2.138944534E-1
1.200000000E0	1.068568102E-1	2.469428336E-1
1.212500000E0	1.078683804E-1	2.769584873E-1
1.225000000E0	1.084003816E-1	3.057381368E-1
1.237500000E0	1.089660423E-1	3.339065432E-1
1.250000000E0	1.094787582E-1	3.608274631E-1
1.262500000E0	1.098423539E-1	3.858302272E-1
1.275000000E0	1.103083417E-1	4.098786828E-1
1.287500000E0	1.107154808E-1	4.323014373E-1
1.300000000E0	1.111481820E-1	4.534052387E-1
1.312500000E0	1.115012451E-1	4.725674196E-1
1.325000000E0	1.131049818E-1	4.881675342E-1
1.337500000E0	1.134514086E-1	5.050352874E-1
1.350000000E0	1.136917887E-1	5.203392840E-1
1.362500000E0	1.139893142E-1	5.350643247E-1
1.375000000E0	1.142450390E-1	5.471889625E-1
1.387500000E0	1.144398853E-1	5.584168618E-1
1.400000000E0	1.152930186E-1	5.668705770E-1
1.412500000E0	1.154434503E-1	5.752296914E-1
1.437500000E0	1.179323663E-1	5.606883778E-1
1.450000000E0	1.192162199E-1	5.654551181E-1
1.462500000E0	1.192434178E-1	5.669316978E-1
1.475000000E0	1.192305375E-1	5.661601372E-1
1.487500000E0	1.192604183E-1	5.651089060E-1
1.500000000E0	1.192310695E-1	5.629684587E-1
1.512500000E0	1.191377699E-1	5.586995733E-1
1.525000000E0	1.190465289E-1	5.543368222E-1
1.537500000E0	1.203536910E-1	5.541677049E-1
1.550000000E0	1.202362060E-1	5.464288158E-1
1.562500000E0	1.200852626E-1	5.367348919E-1
1.575000000E0	1.199081782E-1	5.262005889E-1
1.587500000E0	1.197230006E-1	5.153526728E-1
1.600000000E0	1.194914964E-1	5.025673538E-1
1.612500000E0	1.192343630E-1	4.883986966E-1
1.625000000E0	1.189425021E-1	4.726326948E-1
1.637500000E0	1.186703457E-1	4.560472514E-1
1.650000000E0	1.183611553E-1	4.380448130E-1
1.662500000E0	1.180086737E-1	4.188020557E-1
1.675000000E0	1.176147130E-1	3.977952800E-1
1.687500000E0	1.171855739E-1	3.747607269E-1
1.700000000E0	1.169170736E-1	3.513295304E-1
1.712500000E0	1.164854499E-1	3.280709744E-1
1.725000000E0	1.159409948E-1	3.012461700E-1
1.737500000E0	1.154046168E-1	2.734629199E-1
1.750000000E0	1.148464297E-1	2.444347881E-1
1.762500000E0	1.143559477E-1	2.127550509E-1
1.775000000E0	1.137529094E-1	1.806787269E-1
1.787500000E0	1.130836861E-1	1.464487420E-1
1.800000000E0	1.124669355E-1	1.110264946E-1
1.812500000E0	1.118014982E-1	7.240443302E-2
1.825000000E0	1.113262910E-1	3.313416850E-2
1.837500000E0	1.108659890E-1	-5.360818075E-3
1.850000000E0	1.102446963E-1	-5.470430593E-2
1.862500000E0	1.102886568E-1	-5.720900730E-2
1.875000000E0	1.111655825E-1	-9.074309343E-3
1.887500000E0	1.114945876E-1	2.397626090E-2
1.900000000E0	1.122412184E-1	6.103531604E-2
1.912500000E0	1.127294119E-1	9.700164656E-2
1.925000000E0	1.133829049E-1	1.308168729E-1
1.937500000E0	1.139832710E-1	1.627243938E-1
1.950000000E0	1.146042007E-1	1.946371235E-1
1.962500000E0	1.151382737E-1	2.237876208E-1
1.975000000E0	1.156097386E-1	2.481354344E-1
1.987500000E0	1.160789418E-1	2.744445631E-1
2.000000000E0	1.164661376E-1	2.987071142E-1
2.012500000E0	1.168454993E-1	3.182252850E-1
2.025000000E0	1.172328363E-1	3.396876706E-1
2.037500000E0	1.176547740E-1	3.622418266E-1
2.050000000E0	1.180084741E-1	3.824973618E-1
2.062500000E0	1.183030000E-1	3.982810233E-1
2.075000000E0	1.185956687E-1	4.136408405E-1
2.087500000E0	1.188434472E-1	4.274910988E-1
2.100000000E0	1.191112133E-1	4.449266273E-1
2.112500000E0	1.192733878E-1	4.524544989E-1
2.125000000E0	1.194675329E-1	4.628496949E-1
2.137500000E0	1.196269250E-1	4.716099141E-1
2.150000000E0	1.197539022E-1	4.787161338E-1
2.162500000E0	1.198597175E-1	4.845204691E-1
2.175000000E0	1.199201504E-1	4.880805083E-1
2.187500000E0	1.199783614E-1	4.919668027E-1
2.200000000E0	1.199603686E-1	4.930065294E-1
2.212500000E0	1.199696730E-1	4.934225258E-1
2.225000000E0	1.198708479E-1	4.926482416E-1
2.237500000E0	1.193546276E-1	4.934317233E-1
2.250000000E0	1.192245715E-1	4.874295994E-1
2.262500000E0	1.188840288E-1	4.817732437E-1
2.275000000E0	1.188555064E-1	4.748479849E-1
2.287500000E0	1.181432982E-1	4.666169052E-1
2.300000000E0	1.179500926E-1	4.579372461E-1
2.312500000E0	1.171911788E-1	4.500794981E-1
2.325000000E0	1.169418604E-1	4.367086060E-1
2.337500000E0	1.165997437E-1	4.220086346E-1
2.350000000E0	1.161931053E-1	4.069297844E-1
2.362500000E0	1.154300603E-1	3.920934362E-1
2.375000000E0	1.149850382E-1	3.722788310E-1
2.387500000E0	1.146423793E-1	3.527712206E-1
2.400000000E0	1.135498595E-1	3.331948642E-1
2.412500000E0	1.131452662E-1	3.104257555E-1
2.425000000E0	1.120160798E-1	2.885447189E-1
2.437500000E0	1.115961395E-1	2.635290225E-1
2.450000000E0	1.111086045E-1	2.359932871E-1
2.462500000E0	1.099751669E-1	2.077119551E-1
2.475000000E0	1.093183567E-1	1.780013381E-1
2.487500000E0	1.080515510E-1	1.431458069E-1
2.500000000E0	1.074353143E-1	1.102948093E-1
2.512500000E0	1.067681675E-1	7.521052171E-2
2.525000000E0	1.056189512E-1	3.680619683E-2
2.537500000E0	1.057123371E-1	-1.801190543E-3
2.550000000E0	1.034626865E-1	-4.053067102E-2
2.562500000E0	1.043062719E-1	-6.281426862E-2
2.575000000E0	1.045744410E-1	-3.576734084E-2
2.587500000E0	1.058730198E-1	-2.130374369E-3
2.600000000E0	1.061845093E-1	3.845066746E-2
2.612500000E0	1.070672848E-1	7.636542918E-2
2.625000000E0	1.080586795E-1	1.066295148E-1
2.637500000E0	1.088972196E-1	1.391305408E-1
2.650000000E0	1.098886240E-1	1.648011993E-1
2.662500000E0	1.111181857E-1	1.931370564E-1
2.675000000E0	1.116943497E-1	2.189368854E-1
2.687500000E0	1.126223724E-1	2.424100611E-1
2.700000000E0	1.137691536E-1	2.644416057E-1
2.712500000E0	1.142420781E-1	2.874580906E-1
2.725000000E0	1.151971792E-1	3.056832221E-1
2.737500000E0	1.156623874E-1	3.249513956E-1
2.750000000E0	1.166245237E-1	3.417414820E-1
2.762500000E0	1.168756668E-1	3.590121634E-1
2.775000000E0	1.171562610E-1	3.737421783E-1
2.787500000E0	1.174305337E-1	3.877936131E-1
2.800000000E0	1.182646394E-1	3.972662472E-1
2.812500000E0	1.184282513E-1	4.083230704E-1
2.825000000E0	1.186473186E-1	4.177494890E-1
2.837500000E0	1.187741330E-1	4.260292795E-1
2.850000000E0	1.189318699E-1	4.324431356E-1
2.862500000E0	1.203876438E-1	4.331820371E-1
2.875000000E0	1.203880563E-1	4.369442785E-1
2.887500000E0	1.191503662E-1	4.425162752E-1
2.900000000E0	1.191328716E-1	4.424436490E-1
2.912500000E0	1.189956016E-1	4.420522837E-1
2.925000000E0	1.190087418E-1	4.393942582E-1
2.937500000E0	1.216195513E-1	4.278461800E-1
2.950000000E0	1.215295057E-1	4.229405272E-1
2.962500000E0	1.214213988E-1	4.160201949E-1
2.975000000E0	1.213031346E-1	4.076410003E-1
2.987500000E0	1.211454750E-1	3.972263064E-1
3.000000000E0	1.209702442E-1	3.860516214E-1
3.012500000E0	1.219377940E-1	3.700816346E-1
3.025000000E0	1.217230663E-1	3.560709335E-1
3.037500000E0	1.228528974E-1	3.354467767E-1
3.050000000E0	1.225253433E-1	3.184665056E-1
3.062500000E0	1.228095610E-1	2.971802288E-1
3.075000000E0	1.229930180E-1	2.756377424E-1
3.087500000E0	1.228442160E-1	2.544795805E-1
3.100000000E0	1.223818259E-1	2.299088210E-1
3.112500000E0	1.219280751E-1	2.049837686E-1
3.125000000E0	1.225457749E-1	1.753856335E-1
3.137500000E0	1.220738985E-1	1.459946534E-1
3.150000000E0	1.216205875E-1	1.155307200E-1
3.162500000E0	1.211264045E-1	8.467006262E-2
3.175000000E0	1.212093467E-1	4.918497992E-2
3.187500000E0	1.209074140E-1	1.533031467E-2
3.200000000E0	1.210754421E-1	-2.731905979E-2
3.212500000E0	1.208089493E-1	-7.034904904E-2
3.225000000E0	1.205034295E-1	-6.932515903E-2
3.237500000E0	1.226494633E-1	-2.045115385E-2
3.250000000E0	1.239767005E-1	1.666230030E-2
3.262500000E0	1.247193803E-1	4.868196202E-2
3.275000000E0	1.252410903E-1	8.160567214E-2
3.287500000E0	1.259376289E-1	1.133061643E-1
3.300000000E0	1.270691210E-1	1.407791912E-1
3.312500000E0	1.281764285E-1	1.664221380E-1
3.325000000E0	1.299740674E-1	1.891688250E-1
3.337500000E0	1.305397053E-1	2.141284572E-1
3.350000000E0	1.321558761E-1	2.327944601E-1
3.362500000E0	1.326717781E-1	2.542709171E-1
3.375000000E0	1.330033676E-1	2.745090468E-1
3.387500000E0	1.333451977E-1	2.927167568E-1
3.400000000E0	1.336023769E-1	3.093872767E-1
3.412500000E0	1.339336686E-1	3.237904990E-1
3.425000000E0	1.341727877E-1	3.372297084E-1
3.437500000E0	1.357393864E-1	3.463465119E-1
3.450000000E0	1.373068246E-1	3.533418247E-1
3.462500000E0	1.373580724E-1	3.620989505E-1
3.475000000E0	1.375173040E-1	3.700020698E-1
3.487500000E0	1.377166794E-1	3.760440717E-1
3.500000000E0	1.389400883E-1	3.774840480E-1
3.512500000E0	1.403827701E-1	3.775278601E-1
3.525000000E0	1.405029786E-1	3.793110906E-1
3.537500000E0	1.404579917E-1	3.790840611E-1
3.550000000E0	1.418090570E-1	3.748943836E-1
3.562500000E0	1.431200785E-1	3.686038469E-1
3.575000000E0	1.430178533E-1	3.649105356E-1
3.587500000E0	1.428998437E-1	3.591558086E-1
3.600000000E0	1.441826364E-1	3.489815385E-1
3.612500000E0	1.440538120E-1	3.399929524E-1
3.625000000E0	1.437651956E-1	3.295751555E-1
3.637500000E0	1.450562633E-1	3.152262331E-1
3.650000000E0	1.454349068E-1	3.009240163E-1
3.662500000E0	1.464063552E-1	2.829645110E-1
3.675000000E0	1.467774752E-1	2.653753090E-1
3.687500000E0	1.472746220E-1	2.460682601E-1
3.700000000E0	1.474921319E-1	2.255300023E-1
3.712500000E0	1.478986607E-1	2.032330155E-1
3.725000000E0	1.481333670E-1	1.792333457E-1
3.737500000E0	1.475858605E-1	1.540972552E-1
3.750000000E0	1.472982125E-1	1.293144325E-1
3.762500000E0	1.479292191E-1	9.986097366E-2
3.775000000E0	1.482322246E-1	6.928727252E-2
3.787500000E0	1.483484646E-1	3.620533482E-2
3.800000000E0	1.495852708E-1	-8.391173465E-3
3.812500000E0	1.491612004E-1	-3.462220325E-2
3.825000000E0	1.493360652E-1	-6.321162067E-2
3.837500000E0	1.509902885E-1	-5.186103480E-2
3.850000000E0	1.523700167E-1	-1.705918717E-2
3.862500000E0	1.544403800E-1	1.591010636E-2
3.875000000E0	1.561686814E-1	4.442035256E-2
3.887500000E0	1.574505516E-1	7.307150526E-2
3.900000000E0	1.580545867E-1	1.033963086E-1
3.912500000E0	1.605175117E-1	1.252026866E-1
3.925000000E0	1.616634195E-1	1.496963589E-1
3.937500000E0	1.635150015E-1	1.717131032E-1
3.950000000E0	1.653199521E-1	1.914325419E-1
3.962500000E0	1.669737535E-1	2.095120631E-1
3.975000000E0	1.686816896E-1	2.259944033E-1
3.987500000E0	1.702675701E-1	2.410256241E-1
4.000000000E0	1.707828530E-1	2.584726886E-1
4.012500000E0	1.723109047E-1	2.702170915E-1
4.025000000E0	1.738741050E-1	2.811863304E-1
4.037500000E0	1.741499114E-1	2.931679445E-1
4.050000000E0	1.756856030E-1	3.004764821E-1
4.062500000E0	1.771676097E-1	3.072516333E-1
4.075000000E0	1.786853342E-1	3.115465656E-1
4.087500000E0	1.787360098E-1	3.176435942E-1
4.100000000E0	1.802945772E-1	3.193942475E-1
4.112500000E0	1.817756570E-1	3.196101245E-1
4.125000000E0	1.830686129E-1	3.188212694E-1
4.137500000E0	1.844045741E-1	3.159286992E-1
4.150000000E0	1.857650710E-1	3.114935805E-1
4.162500000E0	1.870044529E-1	3.057752745E-1
4.175000000E0	1.883561888E-1	2.989307019E-1
4.187500000E0	1.895685063E-1	2.902579140E-1
4.200000000E0	1.908036931E-1	2.797812851E-1
4.212500000E0	1.920242634E-1	2.683854163E-1
4.225000000E0	1.931457341E-1	2.556278499E-1
4.237500000E0	1.943459330E-1	2.409027062E-1
4.250000000E0	1.967828729E-1	2.214310910E-1
4.262500000E0	1.978621992E-1	2.042811262E-1
4.275000000E0	1.989494021E-1	1.851630833E-1
4.287500000E0	1.999639980E-1	1.640858618E-1
4.300000000E0	2.008999691E-1	1.422458558E-1
4.312500000E0	2.019328608E-1	1.190020160E-1
4.325000000E0	2.028190032E-1	9.398009384E-2
4.337500000E0	2.039025634E-1	6.755277513E-2
4.350000000E0	2.053395367E-1	3.778585348E-2
4.362500000E0	2.052718212E-1	1.395609506E-2
4.375000000E0	2.077009432E-1	-2.434276747E-2
4.387500000E0	2.085962683E-1	-5.784256887E-2
4.400000000E0	2.092305065E-1	-6.347606636E-2
4.412500000E0	2.097644314E-1	-3.373673627E-2
4.425000000E0	2.103693650E-1	-5.521218260E-3
4.437500000E0	2.100637827E-1	2.291369574E-2
4.450000000E0	2.105292369E-1	4.895209579E-2
4.462500000E0	2.108877678E-1	7.324243511E-2
4.475000000E0	2.113166710E-1	9.573212265E-2
4.487500000E0	2.110492655E-1	1.192266573E-1
4.500000000E0	2.114418390E-1	1.389332561E-1
4.512500000E0	2.111960630E-1	1.588121024E-1
4.525000000E0	2.115994121E-1	1.753187978E-1
4.537500000E0	2.118857186E-1	1.908000821E-1
4.550000000E0	2.119851712E-1	2.043535123E-1
4.562500000E0	2.122193840E-1	2.161056763E-1
4.575000000E0	2.123400918E-1	2.265774171E-1
4.587500000E0	2.124694094E-1	2.349416988E-1
4.600000000E0	2.126021375E-1	2.417200361E-1
4.612500000E0	2.127635193E-1	2.478685325E-1
4.625000000E0	2.128309335E-1	2.525127744E-1
4.637500000E0	2.128908830E-1	2.554601818E-1
4.650000000E0	2.129191149E-1	2.567961925E-1
4.662500000E0	2.129051255E-1	2.567263100E-1
4.675000000E0	2.128997883E-1	2.561173713E-1
4.687500000E0	2.128488744E-1	2.532765356E-1
4.700000000E0	2.127851483E-1	2.497439506E-1
4.712500000E0	2.126914158E-1	2.443537705E-1
4.725000000E0	2.125628368E-1	2.371777959E-1
4.737500000E0	2.123994798E-1	2.287941548E-1
4.750000000E0	2.122186288E-1	2.199092002E-1
4.762500000E0	2.120220477E-1	2.087199028E-1
4.775000000E0	2.118084693E-1	1.962001776E-1
4.787500000E0	2.115709229E-1	1.823924622E-1
4.800000000E0	2.112391319E-1	1.658983824E-1
4.812500000E0	2.109222959E-1	1.489516188E-1
4.825000000E0	2.106101831E-1	1.295448354E-1
4.837500000E0	2.102885387E-1	1.100763402E-1
4.850000000E0	2.099345738E-1	8.871180506E-2
4.862500000E0	2.094899314E-1	6.540033212E-2
4.875000000E0	2.096975194E-1	3.924405193E-2
4.887500000E0	2.092174326E-1	1.374173993E-2
4.900000000E0	2.094490014E-1	-1.648798419E-2
4.912500000E0	2.088654454E-1	-4.676837922E-2
4.925000000E0	2.085373859E-1	-6.444717928E-2
4.937500000E0	2.047804149E-1	-3.775319640E-2
4.950000000E0	2.025472927E-1	-9.924900593E-3
4.962500000E0	1.988398622E-1	1.856563422E-2
4.975000000E0	1.957748264E-1	4.374796349E-2
4.987500000E0	1.925921059E-1	6.773552803E-2
5.000000000E0	1.901023643E-1	8.871773418E-2
5.012500000E0	1.876820696E-1	1.080697061E-1
5.025000000E0	1.852142240E-1	1.258832496E-1
5.037500000E0	1.825875321E-1	1.415805347E-1
5.050000000E0	1.786952686E-1	1.599881141E-1
5.062500000E0	1.761960169E-1	1.742219279E-1
5.075000000E0	1.736452429E-1	1.856049269E-1
5.087500000E0	1.683206521E-1	2.013742016E-1
5.100000000E0	1.682316252E-1	2.051406728E-1
5.112500000E0	1.642213020E-1	2.152326917E-1
5.125000000E0	1.629201035E-1	2.182521823E-1
5.137500000E0	1.588811453E-1	2.255279264E-1
5.150000000E0	1.573843614E-1	2.258795801E-1
5.162500000E0	1.546202580E-1	2.267754927E-1
5.175000000E0	1.517330703E-1	2.265422089E-1
5.187500000E0	1.489829693E-1	2.256226884E-1
5.200000000E0	1.460656786E-1	2.226616562E-1
5.212500000E0	1.432085864E-1	2.185626675E-1
5.225000000E0	1.416900579E-1	2.101508632E-1
5.237500000E0	1.387082533E-1	2.024224857E-1
5.250000000E0	1.329921280E-1	1.996602175E-1
5.262500000E0	1.300917016E-1	1.894500860E-1
5.275000000E0	1.295951907E-1	1.721160086E-1
5.287500000E0	1.266591563E-1	1.577531953E-1
5.300000000E0	1.235988598E-1	1.431645672E-1
5.312500000E0	1.204151399E-1	1.273048945E-1
5.325000000E0	1.172985291E-1	1.098784920E-1
5.337500000E0	1.141179786E-1	9.073437585E-2
5.350000000E0	1.109662328E-1	7.000895446E-2
5.362500000E0	1.077723688E-1	4.758794347E-2
5.375000000E0	1.045526671E-1	2.370072205E-2
5.387500000E0	1.048946428E-1	-2.047656104E-3
5.400000000E0	9.916191286E-2	-3.406689230E-2
5.412500000E0	9.330156679E-2	-4.608027214E-2
5.425000000E0	9.284049227E-2	-3.275904343E-2
5.437500000E0	9.119201196E-2	-8.112461539E-3
5.450000000E0	8.890519685E-2	1.886817154E-2
5.462500000E0	8.781877266E-2	3.926585313E-2
5.475000000E0	8.550652129E-2	6.141036827E-2
5.487500000E0	8.308353795E-2	8.265469304E-2
5.500000000E0	7.913645386E-2	1.040301180E-1
5.512500000E0	7.806721123E-2	1.197169510E-1
5.525000000E0	7.681419398E-2	1.330017862E-1
5.537500000E0	7.284472283E-2	1.492911634E-1
5.550000000E0	6.906991288E-2	1.643912469E-1
5.562500000E0	6.775705558E-2	1.742579271E-1
5.575000000E0	6.786081160E-2	1.804849907E-1
5.587500000E0	6.515032298E-2	1.888237401E-1
5.600000000E0	6.254913453E-2	1.954391968E-1
5.612500000E0	6.257560463E-2	1.975976156E-1
5.625000000E0	6.178694078E-2	1.980831782E-1
5.637500000E0	6.054848788E-2	1.983931640E-1
5.650000000E0	5.843089283E-2	1.984283619E-1
5.662500000E0	5.557002613E-2	1.984359104E-1
5.675000000E0	5.334553914E-2	1.955620241E-1
5.687500000E0	5.251883045E-2	1.891662677E-1
5.700000000E0	4.973981967E-2	1.844917106E-1
5.712500000E0	4.676614739E-2	1.782031817E-1
5.725000000E0	4.513527487E-2	1.676586900E-1
5.737500000E0	4.343551311E-2	1.555617780E-1
5.750000000E0	4.045183704E-2	1.450023467E-1
5.762500000E0	3.876437137E-2	1.301419805E-1
5.775000000E0	3.713133414E-2	1.136855008E-1
5.787500000E0	3.541707608E-2	9.525911054E-2
5.800000000E0	3.355642247E-2	7.591570620E-2
5.812500000E0	3.174503210E-2	5.480135833E-2
5.825000000E0	2.864078077E-2	3.594961314E-2
5.837500000E0	2.534914337E-2	1.624368930E-2
5.850000000E0	2.433994186E-2	-1.273315765E-2
5.862500000E0	2.169587043E-2	-3.899143402E-2
5.875000000E0	1.746377627E-2	-3.891041179E-2
5.887500000E0	1.520091482E-2	-1.408726428E-2
5.900000000E0	9.499883410E-3	1.550149230E-2
5.912500000E0	1.171645053E-2	3.041152116E-2
5.925000000E0	9.290356690E-3	5.203937746E-2
5.937500000E0	6.823408608E-3	7.116537449E-2
5.950000000E0	1.621861116E-3	9.243797438E-2
5.962500000E0	2.273854224E-4	1.076271850E-1
5.975000000E0	-7.306593459E-4	1.206026956E-1
5.987500000E0	-1.520150799E-3	1.315603181E-1
6.000000000E0	-3.054801403E-3	1.425790751E-1
6.012500000E0	-4.688272108E-3	1.513062963E-1
6.025000000E0	-7.322428716E-3	1.599321361E-1
6.037500000E0	-1.376614711E-2	1.716983290E-1
6.050000000E0	-1.334882981E-2	1.741393717E-1
6.062500000E0	-1.387653716E-2	1.763968260E-1
6.075000000E0	-1.544116191E-2	1.775487187E-1
6.087500000E0	-1.680018307E-2	1.776523798E-1
6.100000000E0	-1.928592571E-2	1.773705133E-1
6.112500000E0	-2.240739903E-2	1.757294077E-1
6.125000000E0	-2.530879195E-2	1.729235442E-1
6.137500000E0	-2.529926573E-2	1.647194909E-1
6.150000000E0	-2.690147892E-2	1.569114383E-1
6.162500000E0	-2.852281233E-2	1.477460775E-1
6.175000000E0	-3.152160166E-2	1.392314421E-1
6.187500000E0	-3.377829983E-2	1.281382206E-1
6.200000000E0	-3.601112701E-2	1.156868205E-1
6.212500000E0	-3.831635884E-2	1.016157999E-1
6.225000000E0	-3.958176434E-2	8.445475076E-2
6.237500000E0	-3.913045079E-2	6.346581078E-2
6.250000000E0	-4.362797120E-2	4.811528263E-2
6.262500000E0	-4.554264635E-2	2.818903936E-2
6.275000000E0	-4.372072614E-2	-2.527330087E-3
6.287500000E0	-4.631049471E-2	-2.584966410E-2
6.300000000E0	-5.269583884E-2	-2.700352002E-2
6.312500000E0	-5.190363501E-2	-1.185133776E-2
6.325000000E0	-5.894317177E-2	1.742829244E-2
6.337500000E0	-5.661961204E-2	3.279766602E-2
6.350000000E0	-5.768300059E-2	5.113014887E-2
6.362500000E0	-5.741536840E-2	6.598971997E-2
